entity,entity_type,freq
joseph recareys,PERSON,2
laura menninger,PERSON,2
em,PERSON,2
m d,PERSON,2
lynn miller,PERSON,2
exa,ORG,2
luis  ,PERSON,2
lc,GPE,2
exbb,ORG,2
exx,PERSON,2
kenia,GPE,2
exg,PERSON,2
kelly a,PERSON,2
exi,PERSON,2
exii,PERSON,2
exsa  b,ORG,2
7 f supp,PERSON,2
8f,PERSON,2
fox news,ORG,2
jennifer  ,ORG,2
google,ORG,2
giuffreheld,PERSON,2
giuffre009203,ORG,2
giuffre007111,ORG,2
giuffre007101,GPE,2
greenberg v cbs inc,PERSON,2
guiffre,PERSON,2
hawkins v harris,PERSON,2
henry jarecki,PERSON,2
hoffman v landers,PERSON,2
hong kong,GPE,2
i ,PERSON,2
ib,GPE,2
giuffre007095,ORG,2
immuno ag v moorjankowski,ORG,2
indem,ORG,2
giuffre005614005700,PERSON,2
giuffre005437,PERSON,2
j17,PERSON,2
jack scarola,PERSON,2
giuffre00157300669,PERSON,2
giuffre001386001571,ORG,2
giuffre0012351246,ORG,2
giuffre000105,ORG,2
9 ,ORG,2
japan,GPE,2
friedman v meyers,PERSON,2
karedes v ackerley grp,PERSON,2
ne3d,ORG,2
maralago0212,ORG,2
perry lang,PERSON,2
schroeder glenn  ,PERSON,2
schoepflin,GPE,2
sasaki shoko,ORG,2
  q,ORG,2
sanford kevin,PERSON,2
sandra l bray,PERSON,2
salman david  ,PERSON,2
ryan michael  ,PERSON,2
ryan megan  ,PERSON,2
russeau heidi  ,PERSON,2
rueda maria  ,PERSON,2
rubio pascual,PERSON,2
rosenberg bradley  ,PERSON,2
rosemary s pooler,PERSON,2
romeus melege  ,PERSON,2
robsham lydie  ,PERSON,2
rivero alicia  ,PERSON,2
rivera,GPE,2
rinaldi v viking penguin inc,PERSON,2
regninnem,PERSON,2
rabuyo,PERSON,2
 3,ORG,2
q granada,PERSON,2
playboy,ORG,2
philip barden,PERSON,2
sdny 1986,GPE,2
sdny 1997,GPE,2
sdny 2012,GPE,2
wallace philip  ,PERSON,2
zivkovic milo  2,ORG,2
x f,PERSON,2
woolf elena  2,ORG,2
willson joseph  ,PERSON,2
willson howard  ,PERSON,2
willoughby william  ,PERSON,2
williams jacqueline,PERSON,2
williams arhon  ,PERSON,2
williams,PERSON,2
weisman brian  ,PERSON,2
wang,ORG,2
w17,GPE,2
sdny 2016,GPE,2
virginia giuffre,PERSON,2
via,ORG,2
velasquez rodollfo  ,ORG,2
vasquez sosmar  ,PERSON,2
v sullivan,PERSON,2
v nippon exp,PERSON,2
v miller,PERSON,2
v casa,ORG,2
  1 ,ORG,2
  8,PERSON,2
seegiuffre v maxwell,PERSON,2
philadelphia,GPE,2
pc v margrabe,GPE,2
marvin,PERSON,2
palm beach,ORG,2
page10,GPE,2
pa,GPE,2
ok,GPE,2
ohagan wolfe,ORG,2
nys3d,ORG,2
ny usa,ORG,2
nixon,PERSON,2
nick,PERSON,2
nicholas f borgia,PERSON,2
new york,ORG,2
new jersey,GPE,2
edwards adv,PERSON,2
nbc news,ORG,2
nadia bjorlin,ORG,2
nadia,GPE,2
morris,PERSON,2
1w fl7,ORG,2
miller,ORG,2
michael  ,PERSON,2
3  9,ORG,2
menninger decl,PERSON,2
medical  surgical,ORG,2
358  n6,ORG,2
maxwell dep,ORG,2
maxwell 4222016,ORG,2
14 q,PERSON,2
page115,PERSON,2
page16 of,ORG,2
page60,ORG,2
page95,PERSON,2
page91,ORG,2
page90,PERSON,2
 j,PERSON,2
page88,PERSON,2
page86,PERSON,2
page75 of,ORG,2
page70,PERSON,2
 p,ORG,2
page638,PERSON,2
page62,GPE,2
page6,ORG,2
14 a,PERSON,2
page59,GPE,2
page478,GPE,2
page440,ORG,2
page427,ORG,2
page42,GPE,2
1 ,ORG,2
page300,ORG,2
page25 of,PERSON,2
page24,PERSON,2
page20 of,ORG,2
page176,ORG,2
egiazaryan v zalmayev,PERSON,2
zwick danielle,PERSON,2
cid21cid17cid3,ORG,2
alfredo rodriguez,PERSON,2
anderson,PERSON,2
cid20cid19,ORG,2
angela,PERSON,2
ann lundberg,PERSON,2
cid20cid19,GPE,2
arkansas,GPE,2
a ms,PERSON,2
chen,PERSON,2
avenue,ORG,2
b c,PERSON,2
b malice,PERSON,2
b new york,PERSON,2
davis v boeheim,PERSON,2
a same,PERSON,2
david rodger,PERSON,2
a shaking,PERSON,2
cid24cid17,ORG,2
adriana,ORG,2
bernard j jansen,PERSON,2
